tempavg,lightavg,humidityavg
12.3,7.1,50.3
12.6,12.8,46.2
11,3.4,49.2
13.2,3.6,47
11.6,1.1,47
12.9,4.1,50
11.3,1.2,46.1
12.6,7.1,49.1
12.6,12.9,46.1
11,3.4,50.2
13.2,3.6,47.3
11.3,1.1,48.1
13.2,4.2,50.7
11,1.2,46.7
12.3,7.1,49.2
12.3,1.9,41.4
12.6,12.8,46.4
11.3,3.4,49.1
13.2,3.6,48.5
11.3,1.1,48.5
12.9,4.2,50.7
11.3,1.2,45.8
12.3,7,50.5
12.3,1.9,40.9
11,3.4,48.8
13.5,3.6,47.5
11.3,1.1,48.6
12.9,4.2,52.4
10.6,1.2,46.9
12.3,7.1,51
12.3,1.9,41.7
11,3.4,50.8
13.2,3.6,49.4
11.6,1.1,48
12.9,4.1,53.2
11,1.2,45.9
12.3,1.8,41.5
12.6,12.5,48.1
10.6,3.3,52.7
13.2,3.5,48.6
11.6,1.1,48.6
12.9,4.2,52.1
11.3,1.2,46.6
12.3,7,51.1
11.6,1.9,43.7
12.6,12.6,47.8
11,3.3,50.5
12.9,3.5,49.7
11.3,1.1,48.6
12.6,4.2,53
11,1.2,47.2
11.9,7,51.8
11.9,1.9,43.6
12.3,12.7,48.1
10.6,3.3,51.4
12.9,3.5,49.7
11,1.3,49.9
12.9,4.2,53.5
11,1.2,47.3
12.3,7,51.8
11.9,1.8,42
11,3.3,50.3
12.6,3.5,49.7
11.3,1.1,49.6
12.9,4.1,52.9
10.6,1.2,48.3
11.9,7.2,52.4
11,3.3,50.3
12.6,3.6,52.2
11.3,1.1,49.6
12.9,4.1,53.7
11,1.2,48
12.3,7.1,51.8
12.6,12.2,48.3
10.6,3.3,51.8
12.6,3.5,51
11,1.1,49.7
12.9,4.2,53.8
11,1.2,47.3
12.3,12.4,48
10.6,3.3,50.7
12.3,3.6,51.9
11,1.1,49.9
12.6,4.2,53.7
10.3,1.2,48.8
11.6,1.9,42.8
10.6,3.3,50.7
12.6,3.6,50.8
11,1.1,50
12.3,4.1,52.1
10.6,1.2,48.1
11.9,1.9,41.8
11.9,12.6,48.3
10.6,3.3,50.7
12.6,3.5,50
11,1.1,50.2
12.3,3,54.3
10.6,1.2,47.5
11.3,1.9,44.2
11.9,12.8,48.8
10.3,3.5,50.8
12.6,3.6,50.7
10.6,1.2,49.7
12.3,3.4,54.3
10.6,1.4,47.3
11.6,7.4,51.8
11.6,2.2,42.5
10.3,4,51.1
12.6,3.8,50.2
10.6,2.1,49.9
12.3,6.2,53.3
